Stock,Fresh Zones (Green),Tested Zones (Blue),Target Zones (Pink)
PAYTM.ns,0,0,0
POLICYBZR.ns,0,0,0
ADANIENSOL.ns,0,0,0
SJVN.ns,0,0,0
BAJAJHLDNG.ns,0,0,0
MAZDOCK.ns,0,0,0
LAURUSLABS.ns,0,0,1
ABB.ns,0,0,0
MOTHERSON.ns,0,0,0
CHOLAFIN.ns,0,0,1
IDEA.ns,0,0,0
TCS.ns,0,0,0
JINDALSTEL.ns,0,0,0
BERGEPAINT.ns,0,0,0
KPITTECH.ns,0,0,0
HCLTECH.ns,0,1,0
NAUKRI.ns,0,0,0
LTTS.ns,0,1,0
DELHIVERY.ns,0,0,0
MANKIND.ns,0,0,2
KALYANKJIL.ns,0,0,0
ICICIGI.ns,1,0,1
TECHM.ns,0,0,0
CGPOWER.ns,0,0,0
HAVELLS.ns,0,0,0
SUPREMEIND.ns,0,2,0
INFY.ns,1,0,0
NYKAA.ns,0,0,0
M&M.ns,0,0,0
WIPRO.ns,0,0,0
BPCL.ns,0,0,1
SIEMENS.ns,0,0,0
PERSISTENT.ns,0,0,0
BHARTIARTL.ns,0,0,0
DLF.ns,0,0,0
TATAMOTORS.ns,0,0,0
LTIM.ns,0,1,0
MAHABANK.ns,0,0,0
ZOMATO.ns,0,0,0
MPHASIS.ns,0,0,0
SBIN.ns,0,0,0
HDFCAMC.ns,0,0,0
DMART.ns,0,0,0
TRENT.ns,1,0,0
AUROPHARMA.ns,0,0,0
TATAELXSI.ns,0,0,0
PRESTIGE.ns,0,0,1
SHREECEM.ns,0,0,0
FORTIS.ns,0,0,0
BAJAJ-AUTO.ns,1,0,0
APOLLOTYRE.ns,0,0,0
LICI.ns,0,0,0
ITC.ns,0,0,1
CUMMINSIND.ns,0,0,0
TITAN.ns,0,0,0
PFC.ns,0,0,1
SBILIFE.ns,0,1,0
INDHOTEL.ns,0,0,0
APLAPOLLO.ns,0,0,1
HINDPETRO.ns,0,0,0
MARUTI.ns,0,0,0
HDFCBANK.ns,0,0,0
HINDALCO.ns,0,1,0
LICHSGFIN.ns,0,0,0
NTPC.ns,0,0,0
COFORGE.ns,0,0,0
BHEL.ns,0,0,0
TATAMTRDVR.ns,0,0,0
FEDERALBNK.ns,0,0,1
BAJFINANCE.ns,0,0,0
ASIANPAINT.ns,0,0,0
HDFCLIFE.ns,0,0,0
ABFRL.ns,0,0,0
DEEPAKNTR.ns,0,0,2
COLPAL.ns,0,0,0
SUNPHARMA.ns,0,0,0
SHRIRAMFIN.ns,0,0,1
BALKRISIND.ns,0,0,0
UNITDSPR.ns,0,0,1
POLYCAB.ns,1,0,0
GAIL.ns,1,0,1
TATATECH.ns,0,0,0
KOTAKBANK.ns,0,0,1
MAXHEALTH.ns,0,0,0
INDUSTOWER.ns,0,0,0
GLAND.ns,0,0,0
BEL.ns,0,0,0
RELIANCE.ns,0,0,1
IOC.ns,0,0,0
SUNTV.ns,0,0,0
NESTLEIND.ns,0,1,0
DABUR.ns,0,0,1
SBICARD.ns,0,0,0
IGL.ns,0,0,1
GRASIM.ns,0,0,0
POONAWALLA.ns,0,0,0
LT.ns,0,0,0
CONCOR.ns,0,0,0
ALKEM.ns,1,0,0
BRITANNIA.ns,0,0,0
ZYDUSLIFE.ns,0,0,0
GUJGASLTD.ns,0,0,0
AMBUJACEM.ns,0,0,0
PNB.ns,0,0,1
YESBANK.ns,0,0,0
INDIGO.ns,0,0,0
VEDL.ns,1,0,0
INDUSINDBK.ns,0,0,0
TATAPOWER.ns,0,0,0
DALBHARAT.ns,0,0,0
AXISBANK.ns,0,0,0
PIIND.ns,0,0,0
ICICIBANK.ns,0,0,0
BANKINDIA.ns,0,0,0
IDBI.ns,0,0,0
GODREJPROP.ns,0,0,0
TORNTPHARM.ns,0,0,0
BANKBARODA.ns,0,0,0
INDIANB.ns,0,0,0
SONACOMS.ns,0,0,1
BHARATFORG.ns,0,0,0
TATACOMM.ns,0,0,0
HINDUNILVR.ns,0,0,0
PIDILITIND.ns,0,0,1
APOLLOHOSP.ns,0,0,1
RECLTD.ns,0,0,0
JUBLFOOD.ns,0,0,0
DIXON.ns,0,0,0
IDFCFIRSTB.ns,0,0,0
PETRONET.ns,0,0,0
TATACHEM.ns,1,0,0
