Stock,Leg-In Date,Leg-Out Date,Zone High (Upper Body Lowest),Zone Low,Zone Status
LAURUSLABS.ns,2024-08-07 14:50:00+05:30,2024-08-07 15:10:00+05:30,425,424.75,Achieved Target
CHOLAFIN.ns,2024-08-20 10:25:00+05:30,2024-08-20 10:45:00+05:30,1364.949951,1364.050049,Achieved Target
HCLTECH.ns,2024-08-20 14:25:00+05:30,2024-08-20 14:45:00+05:30,1676.699951,1675.650024,Tested
LTTS.ns,2024-08-13 09:50:00+05:30,2024-08-13 10:15:00+05:30,4836.200195,4830.049805,Tested
MANKIND.ns,2024-08-02 11:30:00+05:30,2024-08-02 11:50:00+05:30,1988.949951,1988.199951,Achieved Target
MANKIND.ns,2024-08-08 10:35:00+05:30,2024-08-08 10:55:00+05:30,2051.5,2050,Achieved Target
ICICIGI.ns,2024-08-14 12:15:00+05:30,2024-08-14 12:45:00+05:30,1965,1964.449951,Fresh
ICICIGI.ns,2024-08-28 10:30:00+05:30,2024-08-28 10:50:00+05:30,2155.399902,2153.449951,Achieved Target
SUPREMEIND.ns,2024-08-20 14:45:00+05:30,2024-08-20 15:05:00+05:30,5352.25,5341.649902,Tested
SUPREMEIND.ns,2024-08-23 14:05:00+05:30,2024-08-23 14:30:00+05:30,5536.5,5522,Tested
INFY.ns,2024-08-12 10:55:00+05:30,2024-08-12 11:15:00+05:30,1785.550049,1782.75,Fresh
BPCL.ns,2024-08-12 10:20:00+05:30,2024-08-12 10:40:00+05:30,330.6499939,330.2999878,Achieved Target
LTIM.ns,2024-08-12 10:55:00+05:30,2024-08-12 11:15:00+05:30,5361.25,5358,Tested
TRENT.ns,2024-08-09 12:15:00+05:30,2024-08-09 12:40:00+05:30,5698.100098,5685,Fresh
PRESTIGE.ns,2024-08-13 13:05:00+05:30,2024-08-13 13:25:00+05:30,1739.150024,1737,Achieved Target
BAJAJ-AUTO.ns,2024-08-28 11:05:00+05:30,2024-08-28 11:25:00+05:30,10554.0498,10545.15039,Fresh
